id;name;cia;date;time;type;synopsis;location;hasLibras;image;;;;;;;;;;;;;;;;;
1;Paradinha da Rua de Natal;;2025-12-05;18:00;paradinha;Com muita música, brilho e alegria, a Paradinha da Rua de Natal abre o caminho da festa! Este ano, quem conduz o cortejo são as Guardiãs do Natal — Coralina, Bravalina, Risinho e Uny. Juntas, elas lideram o desfile pelas ruas do centro de Itapevi espalhando a magia. Colorida e vibrante, a paradinha tem início na Praça 18 de Fevereiro e convida o público a seguir junto até a Rua de Natal, para a realização do Espetáculo de Luzes. Nesses dias especiais, após o acendimento da rua, as Guardiãs sobem ao palco para a performance  “O Despertar das Guardiãs”.;Praça 18 de Fevereiro;true;paradinha da rua de natal.jpg;;;;;;;;;;;;;;;;;
2;Espetáculo de Luzes;;2025-12-05;19:00;espetaculodeluzes;"Diariamente a Rua de Natal ganha vida com vida com o Espetáculo de Luzes. A experiência imersiva e emocionante, transforma a rua em um cenário iluminado e repleto de encanto. 
Em 2025 quem conta essa história são as Guardiãs do Natal.  Elas convidam o público a embarcar nessa aventura até o grande momento do acendimento da Rua de Natal.";Rua Leopoldina de Camargo, 260;true;espetáculo de luzes.jpg;;;;;;;;;;;;;;;;;
3;Chegada do Papai Noel;;2025-12-05;19:00;papainoel;A Chegada do Papai Noel é o ponto alto das noites da Rua de Natal de Itapevi, e acontece logo após o Espetáculo de Luzes. O bom velhinho surge em meio ao brilho das luzes e à música, saudando o público. Após sua chegada, é oficialmente aberta a Vila do Natal — um espaço especialmente preparado para receber as crianças que desejam tirar fotos, entregar suas cartinhas e viver de perto a magia do Natal.;Rua Leopoldina de Camargo, 260;true;chegada do papai noel.jpg;;;;;;;;;;;;;;;;;
4;Estupendo Circo di SóLadies ;Circo di SóLadies |Nem SóLadies;2025-12-05;19:30;circo;Após muito tempo trabalhando em diversos teatros e circos, cansades dos mandos e desmandos dos patrões, três palhaces decidem criar seu próprio circo e rodar pelo mundo. A adaptação de cenas clássicas do circo tradicional, música, poesia e interação com a plateia compõem as apresentações de Estupendo Circo di SóLadies, levando o universo feminino em sua trajetória cômica, para crianças, jovens e adultos.;Praça 18 de Fevereiro;true;CréditoSissyEiko_Estupendo02jpg - Circo di SóLadies e Nem SóLadies também!.jpg;;;;;;;;;;;;;;;;;
5;Marcelo Nakamura;;2025-12-05;21:00;musica;O cantor e compositor manauara Marcelo Nakamura apresenta um show autoral que destaca a diversidade rítmica e cultural da Amazônia, dialogando com diferentes expressões da música brasileira. O artista reúne influências do boi-bumbá, cumbia, beiradão, carimbó e brega, entre outros ritmos regionais, resultando em um espetáculo dançante e cheio de identidade. Acompanhado por uma banda completa, Marcelo Nakamura propõe uma experiência sonora que valoriza as tradições amazônicas ao mesmo tempo em que incorpora elementos contemporâneos, reafirmando seu compromisso com a difusão da música popular amazônica e brasileira.;Rua Leopoldina de Camargo, 260;true;AP1-1172-ts1759505840 - Marcelo Nakamura.jpg;;;;;;;;;;;;;;;;;
6;Espetáculo de Luzes;;2025-12-06;19:00;espetaculodeluzes;"Diariamente a Rua de Natal ganha vida com vida com o Espetáculo de Luzes. A experiência imersiva e emocionante, transforma a rua em um cenário iluminado e repleto de encanto. 
Em 2025 quem conta essa história são as Guardiãs do Natal.  Elas convidam o público a embarcar nessa aventura até o grande momento do acendimento da Rua de Natal.";Rua Leopoldina de Camargo, 260;true;espetáculo de luzes.jpg;;;;;;;;;;;;;;;;;
7;Chegada do Papai Noel;;2025-12-06;19:00;papainoel;A Chegada do Papai Noel é o ponto alto das noites da Rua de Natal de Itapevi, e acontece logo após o Espetáculo de Luzes. O bom velhinho surge em meio ao brilho das luzes e à música, saudando o público. Após sua chegada, é oficialmente aberta a Vila do Natal — um espaço especialmente preparado para receber as crianças que desejam tirar fotos, entregar suas cartinhas e viver de perto a magia do Natal.;Rua Leopoldina de Camargo, 260;true;chegada do papai noel.jpg;;;;;;;;;;;;;;;;;
8;FunkSoulGroove;Cia Chemical Funk;2025-12-06;19:30;danca;"A apresentação de dança interativa convida o público a viver a atmosfera divertida e contagiante, inspirada no programa da TV norte-americana “Soul Train”, veiculado no canal CBS a partir de 1971. Os dançarinos promovem uma grande improvisação de movimentos e passos, resgatando a essência dos bailes e das “social dances” da década de 60 até os dias atuais.
No repertório de passos e sons, o público faz uma viagem por estilos como “cyphers” de improviso, “lines” de passos marcados, e “pocket shows”, que são performances sincronizadas. Tudo com a trilha sonora de grandes sucessos de James Brown, Aretha Franklin, Tim Maia, Sandra de Sá, entre outros.";Rua Leopoldina de Camargo, 260;true;WhatsApp Image 2025-11-13 at 23.02.14 - TOOLS Produtora.jpg;;;;;;;;;;;;;;;;;
9;Alifer Ferraz;;2025-12-06;21:00;musica;Com uma voz marcante e carisma envolvente, Alifer Ferraz apresenta um show que atravessa gerações. No palco, o cantor mescla o melhor do sertanejo atual com grandes clássicos do gênero, criando uma experiência cheia de emoção, energia e identidade.;Rua Leopoldina de Camargo, 260;true;Alifer Ferraz.jpg;;;;;;;;;;;;;;;;;
10;Mamulengo Fanfarrosas;Cia Fanfarrosas;2025-12-07;18:00;teatro;Boneco fala, canta e apronta! Nesse espetáculo o grupo traz figuras que encontramos no cotidiano para o teatro de bonecos popular, com muita graça, música ao vivo, forró de rabeca e crítica bem-humorada, o público entra na roda e se diverte. Uma brincadeira para todas as idades!;Rua Leopoldina de Camargo, 260;true;grupo13506www.rafaelberezinski.com (1) - Fanfarrosas.jpg;;;;;;;;;;;;;;;;;
